INCIDENT_ID,DATA_YEAR,OFFENSE_TYPES,SUM_OFFENSE_RECORDS
79466,2006,Bribery,0
79467,2006,Burglary/Breaking & Entering,148
79468,2006,Counterfeiting/Forgery,14
79469,2006,Credit Card/Automated Teller Machine Fraud,10
79470,2006,Destruction/Damage/Vandalism of Property,2911
79471,2006,Drug Equipment Violations,4
79472,2006,Drug/Narcotic Violations,19
79473,2006,Embezzlement,4
79474,2006,Extortion/Blackmail,2
79475,2006,False Pretenses/Swindle/Confidence Game,17
79476,2006,Fondling,6
79477,2006,Hacking/Computer Invasion,0
79478,2006,"Human Trafficking, Commercial Sex Acts",0
79479,2006,Identity Theft,0
79480,2006,Impersonation,5
79481,2006,Incest,3
79482,2006,Intimidation,2059
79483,2006,Kidnapping/Abduction,2
79484,2006,Motor Vehicle Theft,25
79485,2006,Murder and Nonnegligent Manslaughter,3
79486,2006,Negligent Manslaughter,0
79487,2006,Not Specified,28
79488,2006,Pocket-picking,0
79489,2006,Pornography/Obscene Material,2
79490,2006,Prostitution,2
79491,2006,Purchasing Prostitution,0
79492,2006,Purse-snatching,0
79493,2006,Rape,7
79494,2006,Robbery,140
79495,2006,Sexual Assault With An Object,2
79496,2006,Shoplifting,20
79497,2006,Simple Assault,1446
79498,2006,Sodomy,4
79499,2006,Statutory Rape,0
79500,2006,Stolen Property Offenses,4
79501,2006,Theft From Building,25
79502,2006,Theft From Coin-Operated Machine or Device,1
79503,2006,Theft From Motor Vehicle,42
79504,2006,Theft of Motor Vehicle Parts or Accessories,13
79505,2006,Weapon Law Violations,16
79506,2006,Welfare Fraud,0
79507,2006,Wire Fraud,1
79508,2007,Aggravated Assault,854
79509,2007,All Other Larceny,98
79510,2007,Animal Cruelty,0
79511,2007,Arson,40
79512,2007,Assisting or Promoting Prostitution,0
79513,2007,Betting/Wagering,0
79514,2007,Bribery,0
79515,2007,Burglary/Breaking & Entering,152
79516,2007,Counterfeiting/Forgery,10
79517,2007,Credit Card/Automated Teller Machine Fraud,7
79518,2007,Destruction/Damage/Vandalism of Property,2917
79519,2007,Drug Equipment Violations,2
79520,2007,Drug/Narcotic Violations,3
79521,2007,Embezzlement,3
79522,2007,Extortion/Blackmail,3
79523,2007,False Pretenses/Swindle/Confidence Game,11
79524,2007,Fondling,5
79525,2007,Hacking/Computer Invasion,0
79526,2007,"Human Trafficking, Commercial Sex Acts",0
79527,2007,Identity Theft,0
79528,2007,Impersonation,4
79529,2007,Incest,0
79530,2007,Intimidation,2054
79531,2007,Kidnapping/Abduction,14
79532,2007,Motor Vehicle Theft,20
79533,2007,Murder and Nonnegligent Manslaughter,9
